# abuse.ch URLhaus (text_online snapshot converted to CSV)
id,dateadded,url,url_status,last_online,threat,tags,urlhaus_link,reporter
1,2026-08-10 17:14:17,https://urlhaus.abuse.ch/downloads/text_online,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
2,2026-08-10 17:14:17,http://78.60.75.209:41221/bin.sh,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
3,2026-08-10 17:14:17,http://110.36.4.125:52901/i,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
4,2026-08-10 17:14:17,http://39.79.249.142:34161/i,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
5,2026-08-10 17:14:17,http://110.36.22.249:50192/i,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
6,2026-08-10 17:14:17,http://39.79.249.142:34161/bin.sh,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
7,2026-08-10 17:14:17,http://42.231.88.100:39090/bin.sh,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
8,2026-08-10 17:14:17,http://42.231.88.100:39090/i,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
9,2026-08-10 17:14:17,http://privrawmirai.privnetwork.tech/LjEZs/arm,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
10,2026-08-10 17:14:17,http://privrawmirai.privnetwork.tech/LjEZs/x86_64,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
11,2026-08-10 17:14:17,http://privrawmirai.privnetwork.tech/LjEZs/x86,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
12,2026-08-10 17:14:17,http://privrawmirai.privnetwork.tech/LjEZs/arm5,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
13,2026-08-10 17:14:17,http://120.28.137.87:60618/i,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
14,2026-08-10 17:14:17,http://123.11.10.7:34859/i,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
15,2026-08-10 17:14:17,http://privrawmirai.privnetwork.tech/LjEZs/arm6,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
16,2026-08-10 17:14:17,http://privrawmirai.privnetwork.tech/0x83911d24Fx.sh,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
17,2026-08-10 17:14:17,http://27.37.100.78:38525/i,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
18,2026-08-10 17:14:17,http://privrawmirai.privnetwork.tech/LjEZs/mips,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
19,2026-08-10 17:14:17,http://privrawmirai.privnetwork.tech/LjEZs/ppc,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
20,2026-08-10 17:14:17,http://privrawmirai.privnetwork.tech/LjEZs/mpsl,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
21,2026-08-10 17:14:17,http://privrawmirai.privnetwork.tech/LjEZs/sh4,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
22,2026-08-10 17:14:17,http://privrawmirai.privnetwork.tech/LjEZs/arm7,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
23,2026-08-10 17:14:17,http://privrawmirai.privnetwork.tech/LjEZs/arc,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
24,2026-08-10 17:14:17,http://125.42.193.111:43262/i,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
25,2026-08-10 17:14:17,https://chrome-windows.ru/ChromeSetupWindows.exe,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
26,2026-08-10 17:14:17,http://95.155.151.113/dlink.sh,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
27,2026-08-10 17:14:17,http://37.78.176.5:45921/bin.sh,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
28,2026-08-10 17:14:17,http://91.92.242.236/files-129312398/files/file_e8219df7a9a21088.exe,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
29,2026-08-10 17:14:17,http://109.236.46.199:42682/i,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
30,2026-08-10 17:14:17,http://121.231.139.26:36392/i,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
31,2026-08-10 17:14:17,http://58.22.18.152:33899/i,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
32,2026-08-10 17:14:17,http://115.63.242.225:33235/i,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
33,2026-08-10 17:14:17,http://109.236.46.199:42682/bin.sh,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
34,2026-08-10 17:14:17,http://115.55.179.35:36195/bin.sh,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
35,2026-08-10 17:14:17,http://58.22.18.152:33899/bin.sh,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
36,2026-08-10 17:14:17,http://182.114.192.237:54399/bin.sh,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
37,2026-08-10 17:14:17,http://123.134.41.212:48460/i,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
38,2026-08-10 17:14:17,http://94.154.43.46/LjEZs/arm5,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
39,2026-08-10 17:14:17,https://91.92.243.232/Bin/ScreenConnect.ClientSetup.exe,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
40,2026-08-10 17:14:17,https://91.92.243.232/bin/support.client.exe,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
41,2026-08-10 17:14:17,http://94.154.43.46/LjEZs/arm6,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
42,2026-08-10 17:14:17,http://94.154.43.46/LjEZs/sh4,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
43,2026-08-10 17:14:17,http://94.154.43.46/LjEZs/x86_64,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
44,2026-08-10 17:14:17,http://94.154.43.46/LjEZs/arm,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
45,2026-08-10 17:14:17,http://94.154.43.46/bins.sh,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
46,2026-08-10 17:14:17,http://94.154.43.46/0x83911d24Fx.sh,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
47,2026-08-10 17:14:17,http://94.154.43.46/LjEZs/mpsl,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
48,2026-08-10 17:14:17,http://94.154.43.46/LjEZs/spc,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
49,2026-08-10 17:14:17,http://94.154.43.46/LjEZs/arc,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
50,2026-08-10 17:14:17,http://94.154.43.46/LjEZs/m68k,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
51,2026-08-10 17:14:17,http://94.154.43.46/LjEZs/ppc,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
52,2026-08-10 17:14:17,http://94.154.43.46/LjEZs/mips,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
53,2026-08-10 17:14:17,http://94.154.43.23/LjEZs/arm6,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
54,2026-08-10 17:14:17,http://94.154.43.46/LjEZs/arm7,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
55,2026-08-10 17:14:17,http://94.154.43.23/LjEZs/m68k,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
56,2026-08-10 17:14:17,http://94.154.43.23/LjEZs/arc,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
57,2026-08-10 17:14:17,http://94.154.43.23/LjEZs/sh4,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
58,2026-08-10 17:14:17,http://94.154.43.23/bins.sh,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
59,2026-08-10 17:14:17,http://94.154.43.23/LjEZs/arm,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
60,2026-08-10 17:14:17,http://94.154.43.23/LjEZs/arm5,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
61,2026-08-10 17:14:17,http://94.154.43.23/0x83911d24Fx.sh,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
62,2026-08-10 17:14:17,http://94.154.43.23/LjEZs/arm7,online,2026-08-10 17:14:17,malware_download,,,abuse.ch
